0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
11122.102708862934,-0.5969955483184297,1970.0331342386241,-10036.547853645854,9164.222062268613,-0.0006543809666333624,-1.1965533224643246e-06,-13691.043778843301,-6763.449010324482,0.6482140235317616,-5.187811546530008e-06,-34705.57228371241,32275.737571160913,278990316612538.78,-0.294042013875171,-0.27077720173813746,0.9999999999932717,14150.196488766676,-3486.033568354022
5535.422272370425,-0.5977728056194127,980.4653930074588,-4994.960950310851,4560.97909521683,-0.0009267726249944206,-1.694016300355252e-06,-6814.147340907541,-3366.1940079291107,0.4568439123240636,-7.353493150784604e-06,-17272.673320303547,16063.523903904534,69257402322419.84,-0.20716986546188826,-0.2710317359544633,0.9999999999864815,7042.373593612776,-1735.038819280569
2754.940189461248,-0.5986010915965421,487.96248027429345,-2485.8256731584993,2269.9565270727962,-0.0013114819019252777,-2.3959219458026604e-06,-3391.475442914399,-1675.3693802992725,0.32164356601016486,-1.0423194311825753e-05,-8596.387961110955,7994.721984784004,17208102709170.18,-0.14579621671333945,-0.27126107170970576,0.9999999999728393,3504.8559839298755,-863.5552725265903
1371.1031794650517,-0.5991616592701555,242.84775872326338,-1237.0756242228065,1129.7249311541927,-0.0018527033252656946,-3.382369310529941e-06,-1687.9864055019225,-833.839998154506,0.22599256718797964,-1.4774222394850912e-05,-4278.257567071068,3978.899075841711,4281051636383.3623,-0.10237648165678771,-0.2713305930194599,0.9999999999454307,1744.2692927423739,-429.80927273539317
682.3751557549525,-0.598764435387662,120.85720943757043,-615.6068137095737,562.2400796440386,-0.002608421788637851,-4.757267165554139e-06,-840.143785401368,-415.0074443396403,0.1581388097663364,-2.09413025123963e-05,-2129.168410064865,1980.2419376292692,1066952426149.5409,-0.0715762787907557,-0.2708789918487027,0.9999999998903654,868.0523011920131,-213.92822097374852
339.60129719727524,-0.5958409331343869,60.14478312000819,-306.3264472089512,279.8093631098604,-0.003647686376469934,-6.643321051150611e-06,-418.1619707055097,-206.5525095799852,0.1097632243036508,-2.9682196153883926e-05,-1059.6001320265098,985.5248909163092,266584114840.64444,-0.04962008925473081,-0.2691768397841539,0.9999999997797417,431.9790178343993,-106.48043544397669
169.00737352201958,-0.5872231805102045,29.92986975814832,-152.41531062439796,139.24845480176964,-0.005034053339091037,-9.150019095351306e-06,-208.13459898788966,-102.80330189811797,0.07498205750496306,-4.207061381362224e-05,-527.3006121401381,490.4655031134598,66843833192.83001,-0.03383864396437423,-0.2647567147848259,0.999999999557516,214.95982224075703,-53.00110728127047
84.10620890331721,-0.5671221444806961,14.893109060648396,-75.82637769194528,69.29485719542008,-0.006774323749671247,-1.2278886623039916e-05,-103.59922842261635,-51.16658614048283,0.049682485413434216,-5.962771523113445e-05,-262.3930281499445,244.08289512218565,16843842493.441511,-0.02236759521064654,-0.25498184068771707,0.9999999991111339,106.95979576227616,-26.382688486724113
41.853403438658496,-0.5267887652564403,7.410175817902403,-37.71705823295711,34.48153658465365,-0.008707678774591327,-1.5722091696573877e-05,-51.568727947491716,-25.466524915270988,0.031128617187991647,-8.450810394556834e-05,-130.56140319004083,121.46447431180206,4273848904.705621,-0.013968283611427837,-0.23593047096695346,0.9999999982145953,53.2156450414645,-13.133487987405854
20.825990362292117,-0.4576666065421003,3.6865358186217954,-18.756431438639364,17.1568048131987,-0.010369206443677427,-1.8622172448935996e-05,-25.670908682667385,-12.675299714688018,0.017741795949435448,-0.0001197626594385429,-64.95801942290241,60.44178307645876,1094821479.877533,-0.007925691091871637,-0.2038795439907882,0.9999999964142262,26.472498761404893,-6.538517855421522
10.361943201778162,-0.36070232328083973,1.8337183369323806,-9.324248145560551,8.535613613876718,-0.011055990961586673,-1.9710182626523448e-05,-12.780009836438847,-6.308904546612321,0.008783210737942289,-0.00016970946867232007,-32.313781499651874,30.07402199851558,284148530.9982457,-0.0039001737845547916,-0.15950765047826965,0.999999992799674,13.166212628911707,-3.2556129584888547
5.1549117390456,-0.25408094914884244,0.9118819932978667,-4.633049004558692,4.245792041715414,-0.010351436595997352,-1.8266616859346915e-05,-6.363125740618667,-3.1402131713889196,0.0036522993936919323,-0.00024045634992996817,-16.071408617238323,14.962297410526238,75062007.06628348,-0.0016086616718254117,-0.11121649430600825,0.9999999855451859,6.54635230800813,-1.6212994160580596
